planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-1685 b,0.00988,0.157,0.012,TOI-1685,0.495,0.492,1.3,3434,980
TOI-169 b,0.791,1.086,0.03524,TOI-169,1.147,1.288,4.7,5880,1715
TOI-1710 b,0.0579,0.4595,0.164,TOI-1710,0.984,0.968,4.2,5665,730
TOI-172 b,5.41,0.965,0.0913,TOI-172,1.124,1.774,7.5,5644,1198
TOI-1728 b,0.08426,0.4505,0.0391,TOI-1728,0.646,0.6243,7.1,3980,767
TOI-1739 b,0.013,0.15122,0.0742,TOI-1739,0.79,0.751,6.3,4922,756
TOI-1759 b,0.0214,0.273,0.1176,TOI-1759,0.61,0.6,5,4036,433
TOI-178 b,0.00472,0.10278,0.02607,TOI-178,0.65,0.651,7.1,4316,1040
TOI-178 c,0.01501,0.1489,0.037,TOI-178,0.65,0.651,7.1,4316,873
TOI-178 d,0.00947,0.22946,0.0592,TOI-178,0.65,0.651,7.1,4316,690
TOI-178 e,0.01214,0.1969,0.0783,TOI-178,0.65,0.651,7.1,4316,600
TOI-178 f,0.02429,0.20403,0.1039,TOI-178,0.65,0.651,7.1,4316,521
TOI-178 g,0.0124,0.256,0.1275,TOI-178,0.65,0.651,7.1,4316,470
TOI-1789 b,0.7,1.4,0.04873,TOI-1789,1.499,2.172,2.81,5984,1929
